date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2019-09-01,Monthly,2000.0,617.0,0.0,11196.250000000005,185.0,27.0,0.0,902.0,0.0,14927.250000000005
2019-10-01,Monthly,0.0,88.5,2144.13245,2558.894287999997,300.0,5.0,0.0,300.0,245.0,5641.526737999997
2019-11-01,Monthly,0.0,900.0,0.0,7229.70826849,275.0,5.0,0.0,80.0,2.0,8491.70826849
2019-12-01,Monthly,0.0,932.81421,165.002,6608.839499999999,600.0,1502.0,0.0,1252.0,7.5,11068.155709999999
2020-01-01,Annual,20.0,8759.0,10870.22576379,70999.64662,6047.703,1746.776022,500.0,3085.0,2051.5,104079.85140579
2020-01-01,Monthly,0.0,0.0,0.0,890.1,3001.0,182.0,0.0,0.0,0.0,4073.1
2020-02-01,Monthly,0.0,0.0,0.0,10602.892,0.0,1.0,0.0,0.0,0.0,10603.892
2020-03-01,Monthly,0.0,634.5,0.0,6348.1,0.0,0.0,0.0,0.0,40.0,7022.6
2020-04-01,Monthly,0.0,130.0,0.0,2986.65,0.0,0.0,0.0,0.0,0.0,3116.65
2020-05-01,Monthly,0.0,105.0,35.0,6736.75,225.0,0.0,0.0,0.0,0.0,7101.75
2020-06-01,Monthly,0.0,770.0,3150.0,1624.1999999999998,0.0,1.0,0.0,1120.0,0.0,6665.2
2020-07-01,Monthly,0.0,3000.0,0.0,3602.96062,75.0,122.0,0.0,0.0,170.0,6969.96062
2020-08-01,Monthly,0.0,850.0,3281.0,2761.1,420.0,13.0,0.0,995.0,33.0,8353.1
2020-09-01,Monthly,0.0,1287.5,702.892,6324.721500000001,175.0,411.0,0.0,0.0,8.0,8909.113500000001
2020-10-01,Monthly,0.0,100.0,2052.1,9652.029999999999,1950.0,5.0,0.0,620.0,1800.0,16179.13
2020-11-01,Monthly,20.0,1687.5,537.7315,12909.5,201.703,403.0,500.0,350.0,0.5,16609.9345
2020-12-01,Monthly,0.0,194.5,1111.5022637900001,6560.6425,0.0,608.776022,0.0,0.0,0.0,8475.42078579
2021-01-01,Annual,2220.675,7062.5869999999995,19646.45737692,71931.56339020001,6315.66,1886.5684499999998,0.0,2480.0,868.938943,112412.45016012
2021-01-01,Monthly,334.345,3.0,24.94058485,2145.0,0.0,2.0,0.0,0.0,0.0,2509.28558485
2021-02-01,Monthly,250.0,403.608,716.32889107,3889.909999999997,25.0,11.0,0.0,0.0,0.0,5295.846891069997
2021-03-01,Monthly,979.8299999999999,642.0,10889.64678434,7838.7515611,3005.0,21.0,0.0,300.0,0.0,23676.22834544
2021-04-01,Monthly,0.0,220.3,596.63008961,9195.245925000003,1000.0,5.0,0.0,200.0,0.0,11217.176014610002
2021-05-01,Monthly,200.0,297.36,395.67876451,5424.773000000001,295.0,3.0,0.0,900.0,0.0,7515.811764510001
2021-06-01,Monthly,175.0,811.5,557.45601867,4915.7689041,290.0,3.0,0.0,0.0,498.938943,7251.7
2021-07-01,Monthly,0.0,3112.9,324.73244699,2195.500400000001,580.0,0.0,0.0,0.0,170.0,6383.132846990001
2021-08-01,Monthly,260.0,19.3,293.9424361,7016.950000000004,33.16,390.0,0.0,380.0,0.0,8393.352436100005
2021-09-01,Monthly,10.0,935.797,4.95860248,8761.713600000003,100.0,153.0,0.0,700.0,0.0,10665.469202480002
2021-10-01,Monthly,3.5,600.122,1000.0,6463.549999999997,1.0,3.0,0.0,0.0,0.0,8071.171999999997
2021-11-01,Monthly,8.0,7.0,3630.59201797,6098.549999999999,805.0,849.562,0.0,0.0,200.0,11598.70401797
2021-12-01,Monthly,0.0,9.7,1211.55074033,7985.849999999999,181.5,446.00645,0.0,0.0,0.0,9834.60719033
2022-01-01,Annual,2147.6,10822.693925709998,12545.34097822,106462.05614962,5185.772,6280.53,500.0,5538.88,327.5,149810.37305354996
2022-01-01,Monthly,4.5,1288.64987671,152.7355,1592.579999999999,212.0,2.0,500.0,1100.0,0.0,4852.465376709999
2022-02-01,Monthly,42.2,153.648,753.26058322,1969.04,236.0,0.0,0.0,0.0,0.0,3154.1485832199996
2022-03-01,Monthly,2015.0,657.1,144.094185,7599.110000000003,1712.5,300.0,0.0,0.0,0.0,12427.804185000003
2022-04-01,Monthly,28.0,1759.362,0.0,10482.8864,0.0,0.0,0.0,1000.0,0.0,13270.2484
2022-05-01,Monthly,15.5,8.6,710.0,2933.780000000002,410.0,0.0,0.0,0.0,0.0,4077.880000000002
2022-06-01,Monthly,2.0,60.73004899999999,6860.25071,4291.027248999999,1700.0,700.0,0.0,0.0,100.0,13714.008007999999
2022-07-01,Monthly,12.4,500.5,900.0,2878.859999999999,0.0,4100.0,0.0,0.0,170.0,8561.759999999998
2022-08-01,Monthly,8.7,137.4,0.0,10558.02,80.0,398.53,0.0,750.0,57.5,11990.150000000001
2022-09-01,Monthly,0.0,299.328,745.0,6429.906815000002,195.5,0.0,0.0,1400.0,0.0,9069.734815000002
2022-10-01,Monthly,9.899999999999999,66.0,0.0,14909.24868562,0.0,680.0,0.0,690.0,0.0,16355.148685619999
2022-11-01,Monthly,0.0,306.4,2090.0,6906.616999999999,0.0,100.0,0.0,0.0,0.0,9403.017
2022-12-01,Monthly,9.4,5584.976000000001,190.0,35910.97999999998,639.7719999999999,0.0,0.0,598.88,0.0,42934.00799999998
2023-01-01,Annual,646.5450000000001,8230.27399023,18537.174,71298.437506,9178.69899,1478.34,0.0,7081.9902,545.0,116996.45968623001
2023-01-01,Monthly,4.0,266.205,100.0,3644.5,125.0,300.0,0.0,500.0,5.0,4944.705
2023-02-01,Monthly,10.4,565.3389999999999,3000.0,1492.684975000001,354.79765,0.0,0.0,0.0,5.0,5428.221625000002
2023-03-01,Monthly,50.0,268.015,3715.0,5436.222999999999,145.0,96.0,0.0,250.0,7.5,9967.738
2023-04-01,Monthly,32.0,476.9253189999999,1472.141699999999,4685.987279999995,76.0,290.0,0.0,900.0,2.5,7935.554298999994
2023-05-01,Monthly,0.0,5.3,0.0,6725.183842,325.0,0.0,0.0,1000.0,2.5,8057.983842000001
2023-06-01,Monthly,251.645,4435.852,1890.0,8855.217249000005,315.0,150.0,0.0,0.0,0.0,15897.714249000004
2023-07-01,Monthly,0.0,232.8,4455.0323,6518.443700000002,3195.0,0.0,0.0,135.5,370.0,14906.776000000002
2023-08-01,Monthly,3.5,672.7,1400.0,5049.493780000002,656.90134,199.34,0.0,415.4902,7.5,8404.925320000002
2023-09-01,Monthly,55.00000000000001,357.1,195.0,4016.443680000002,130.0,364.0,0.0,3062.5,142.5,8322.543680000002
2023-10-01,Monthly,200.0,156.7,1900.0,13732.66,250.0,0.0,0.0,0.0,0.0,16239.36
2023-11-01,Monthly,0.0,777.7376712299999,410.0,6363.48,165.0,50.0,0.0,400.0,2.5,8168.71767123
2023-12-01,Monthly,40.00000000000001,15.6,0.0,4778.12,3441.0,29.0,0.0,418.5,0.0,8722.220000000001
2024-01-01,Annual,168.6,5059.33149041,9010.0,92822.01815199998,6227.0,3264.9431000000004,0.0,2930.9700000000003,2083.98,121566.84274240996
2024-01-01,Monthly,0.0,235.1,35.0,4131.160000000002,130.0,0.0,0.0,0.0,0.0,4531.260000000002
2024-02-01,Monthly,0.0,526.94589041,1100.0,3831.139999999996,0.0,0.0,0.0,0.0,0.0,5458.085890409996
2024-03-01,Monthly,0.0,690.3,1640.0,7516.431949999997,1945.0,100.0,0.0,0.0,0.0,11891.731949999998
2024-04-01,Monthly,0.0,1636.5,0.0,8202.018999999997,150.0,554.0,0.0,50.0,0.0,10592.518999999997
2024-05-01,Monthly,0.0,39.3,1500.0,5132.773702000001,0.0,500.0,0.0,601.0,0.0,7773.0737020000015
2024-06-01,Monthly,0.0,47.9,1600.0,8345.99725,0.0,0.0,0.0,1280.0,454.5500000000001,11728.44725
2024-07-01,Monthly,0.0,32.0,0.0,14010.42699999999,275.0,9.8646,0.0,0.0,543.59,14870.881599999992
2024-08-01,Monthly,0.0,264.6,2200.0,4308.609,130.0,0.0,0.0,50.0,283.0,7236.209000000001
2024-09-01,Monthly,0.0,129.5,0.0,12006.15825,1400.0,49.9385,0.0,300.0,154.00000000000003,14039.59675
2024-10-01,Monthly,0.0,1030.0,900.0,9279.919999999998,536.0,4.5,0.0,0.0,400.98,12151.399999999998
2024-11-01,Monthly,168.6,211.2,0.0,10303.63,161.0,1846.64,0.0,499.97,7.5,13198.539999999997
2024-12-01,Monthly,0.0,215.9856,35.0,5753.752,1500.0,200.0,0.0,150.0,240.35999999999999,8095.0976
2025-01-01,Annual,2947.6125,12306.07044,21816.86144561,124484.55146524002,6238.3467125,739.3000000000001,500.0,3462.0,801.5,173296.24256335
2025-01-01,Monthly,0.0,550.0,0.0,3501.332,0.0,0.0,0.0,50.0,36.5,4137.832
2025-02-01,Monthly,72.89999999999998,1990.8215,0.0,5478.074499999999,780.0,40.0,0.0,300.0,0.0,8661.795999999998
2025-03-01,Monthly,0.0,1150.0,600.0,15029.17848973,0.0,0.0,0.0,467.5,325.0,17571.678489730002
2025-04-01,Monthly,0.0,171.25,2120.0,11721.760463,99.0,198.7,0.0,58.0,40.0,14408.710463000001
2025-05-01,Monthly,0.0,182.00438,0.0,4955.83686301,705.6367124999999,0.0,0.0,80.0,0.0,5923.47795551
2025-06-01,Monthly,0.0,222.90616,1250.0,8117.709999999999,110.0,0.0,0.0,30.0,0.0,9730.61616
2025-07-01,Monthly,0.0,3299.0,510.0,6612.297800000001,250.0,500.0,0.0,50.5,0.0,11221.7978
2025-08-01,Monthly,650.0,279.8384,2600.0,14194.236,1200.0,0.0,500.0,540.0,200.0,20164.0744
2025-09-01,Monthly,0.0,2573.0,7088.8314456100015,16668.925349500012,1800.0,0.0,0.0,121.0,0.0,28251.756795110014
2025-10-01,Monthly,124.7125,100.0,3000.0,7715.14,505.0,0.0,0.0,55.0,0.0,11499.8525
2025-11-01,Monthly,2100.0,837.25,2760.0,12910.49,199.71,0.0,0.0,80.0,0.0,18887.449999999997
2025-12-01,Monthly,0.0,950.0,1888.03,17579.57,589.0,0.6,0.0,1630.0,200.0,22837.199999999997
2026-01-01,Monthly,0.0,1955.0,0.0,4448.65,1000.0,0.6,0.0,38.0,0.0,7442.25
2026-02-01,Monthly,200.0,4671.35178255,1685.0,12850.93,423.37805000000003,0.0,0.0,17.0,250.0,20097.65983255
2026-03-01,Monthly,0.0,533.5949,2589.0,6178.373,1559.4855,0.0,0.0,1800.0,0.0,12660.4534
2026-04-01,Monthly,0.0,2645.973,580.0,8416.84,0.0,500.0,0.0,536.0,0.0,12678.813
