date,frequency,bank,less_than_500k,500k_to_1m,1m_to_5m,more_than_5m,total_outstanding
2023-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5474.797089099999,1924.90676706,3967.8731237200004,11262.816453800002,22630.39343368
2023-10-01,Monthly,Jumlah / Total,58441.69855707002,43854.30369241,121498.27031702994,153245.19494078998,377039.4675072998
2023-11-01,Monthly,Bank-bank perdagangan / Commercial banks,35731.811441470025,26426.077307909993,75447.24770948997,88764.76089514,226369.89735400997
2023-11-01,Monthly,Bank-bank Islam / Islamic banks,17448.9240642,15555.071058739994,42578.68511224,54141.09611945999,129723.77635463995
2023-11-01,Monthly,Bank-bank pelaburan / Investment banks,3.2058847499999996,5.25095217,114.75293113999997,1405.1226196100001,1528.33238767
2023-11-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5493.212539599998,1930.7748381699985,4001.491066920001,11351.172910180001,22776.65135487
2023-11-01,Monthly,Jumlah / Total,58677.153930020024,43917.17415698999,122142.17681978995,155662.15254439,380398.65745119
2023-12-01,Monthly,Bank-bank perdagangan / Commercial banks,35632.93207711999,26408.385534470006,75639.42476171002,90938.06538605,228618.80775935002
2023-12-01,Monthly,Bank-bank Islam / Islamic banks,17523.043767909996,15643.591462640003,43194.65408950999,56641.915325,133003.20464506
2023-12-01,Monthly,Bank-bank pelaburan / Investment banks,3.0195244700000003,3.7399261599999996,117.61602801000004,1307.90364453,1432.27912317
2023-12-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5532.258908609999,1924.6636358800001,4055.8702657599997,11541.095350149999,23053.888160399998
2023-12-01,Monthly,Jumlah / Total,58691.25427811,43980.380559150006,123007.56514498999,160428.97970573,386108.17968798
2024-01-01,Monthly,Bank-bank perdagangan / Commercial banks,35902.63175241001,26405.34422581998,75866.46862126004,91497.53916911002,229671.98376860004
2024-01-01,Monthly,Bank-bank Islam / Islamic banks,17545.13941289001,15703.59946356001,43383.33529048,56518.71540956,133150.78957649003
2024-01-01,Monthly,Bank-bank pelaburan / Investment banks,3.0196874,4.43307172,117.40382197000001,1312.90981772,1437.7663988100003
2024-01-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5562.85404862,1913.5388830200004,3982.8634932400014,11510.700898990002,22969.957323870007
2024-01-01,Monthly,Jumlah / Total,59013.64490132002,44026.91564411999,123350.07122695,160839.86529538,387230.4970677699
2024-02-01,Monthly,Bank-bank perdagangan / Commercial banks,35841.52143235,26393.971589739984,75783.39628755995,91615.86698203,229634.75629167986
2024-02-01,Monthly,Bank-bank Islam / Islamic banks,17541.889205199994,15781.703488440002,43717.231713929985,57375.13543335997,134415.95984092995
2024-02-01,Monthly,Bank-bank pelaburan / Investment banks,3.2761226499999996,4.197925970000001,109.38216757999999,1295.3529908900002,1412.2092070899998
2024-02-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5601.329460289999,1919.6244728999995,4020.2492866900016,11601.437210830003,23142.64043071
2024-02-01,Monthly,Jumlah / Total,58988.01622048999,44099.49747704999,123630.25945575998,161887.79261710998,388605.56577041
2024-03-01,Monthly,Bank-bank perdagangan / Commercial banks,35977.995393739984,26508.89653270999,76291.14634229001,94737.98513190002,233516.02340064003
2024-03-01,Monthly,Bank-bank Islam / Islamic banks,17613.761023590014,15857.694950050001,44360.891433709985,58111.963260189994,135944.31066754
2024-03-01,Monthly,Bank-bank pelaburan / Investment banks,2.97183997,4.838295539999999,102.40392060999996,1332.63877129,1442.8528274100001
2024-03-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5644.832137169999,1924.4398522399995,4083.1812727199986,11635.45038242,23287.90364455
2024-03-01,Monthly,Jumlah / Total,59239.56039447,44295.86963053999,124837.62296932998,165818.03754579998,394191.0905401399
2024-04-01,Monthly,Bank-bank perdagangan / Commercial banks,36007.049916719974,26466.113765000024,76152.57418066997,94347.44586392,232973.18372630997
2024-04-01,Monthly,Bank-bank Islam / Islamic banks,17621.11339012,15883.473019160008,44700.12854262999,58565.48996126,136770.20491317
2024-04-01,Monthly,Bank-bank pelaburan / Investment banks,2.6466341899999994,4.6837190799999995,107.50313383,1352.72082536,1467.5543124600003
2024-04-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5668.864661959999,1907.7202043299997,4075.7016332800013,11730.65942348,23382.945923049996
2024-04-01,Monthly,Jumlah / Total,59299.674602989966,44261.99070757003,125035.90749040997,165996.31607402003,394593.88887499
2024-05-01,Monthly,Bank-bank perdagangan / Commercial banks,36148.63555998001,26450.66971107998,76355.22526869,94787.80054471001,233742.33108446
2024-05-01,Monthly,Bank-bank Islam / Islamic banks,17644.73252202,15926.669310050007,45120.78258332998,59140.92198471001,137833.10640010997
2024-05-01,Monthly,Bank-bank pelaburan / Investment banks,2.7341329300000003,4.73904016,111.15830499999998,1346.9664913799998,1465.5979694699997
2024-05-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5708.028254490001,1916.88492965,4027.325187559998,11776.455741870002,23428.69411357
2024-05-01,Monthly,Jumlah / Total,59504.13046942,44298.96299093999,125614.49134457999,167052.14476267004,396469.7295676098
2024-06-01,Monthly,Bank-bank perdagangan / Commercial banks,36165.88351031997,26496.766408550007,76995.93590193,98534.20017753995,238192.78599833994
2024-06-01,Monthly,Bank-bank Islam / Islamic banks,17644.53628437,16023.976108010007,45754.732427440016,59968.59297022,139391.83779004
2024-06-01,Monthly,Bank-bank pelaburan / Investment banks,2.64871451,4.430574499999999,122.16250826999998,1383.8004982100001,1513.04229549
2024-06-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5716.481077120001,1913.8008107799994,4064.5775836800017,11746.310541209996,23441.170012789997
2024-06-01,Monthly,Jumlah / Total,59529.54958631998,44438.973901840014,126937.40842132001,171632.90418717996,402538.8360966599
