date,frequency,sme_size,individual_for_business,micro,small,medium,financing
2024-12-01,Monthly,Bank-bank perdagangan / Commercial banks,636.99758051,70271.04710099997,113953.86931876995,59618.870591360006,244480.78459163997
2024-12-01,Monthly,Bank-bank Islam / Islamic banks,247.01992329,42446.171303759984,68197.66402258001,32511.201753179994,143402.05700281
2024-12-01,Monthly,Bank-bank pelaburan / Investment banks,39.058857599999996,1157.21202062,171.30303396000002,233.75992148000006,1601.33383366
2024-12-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,899.2738379600003,7176.403804710002,8649.905166849998,7381.646121459996,24107.22893098
2024-12-01,Monthly,Jumlah / Total,1822.35019936,121050.83423008997,190972.74154216,99745.47838747999,413591.40435908985
2025-01-01,Monthly,Bank-bank perdagangan / Commercial banks,632.5663775099999,71790.62104392998,114751.66387892996,58668.656249640015,245843.50755001
2025-01-01,Monthly,Bank-bank Islam / Islamic banks,244.98899007999995,42457.81187924,68385.07564343001,32498.635082489996,143586.51159524
2025-01-01,Monthly,Bank-bank pelaburan / Investment banks,37.32671322,1096.0736429300002,173.78274169000002,255.07207777000002,1562.2551756100006
2025-01-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,875.60657746,7146.397103630003,8571.511880750002,7342.018223280004,23935.533785120002
2025-01-01,Monthly,Jumlah / Total,1790.48865827,122490.90366972997,191882.03414479998,98764.38163318002,414927.8081059801
2025-02-01,Monthly,Bank-bank perdagangan / Commercial banks,637.3834297999996,71573.93525182002,114555.71284141004,57355.39345223003,244122.4249752601
2025-02-01,Monthly,Bank-bank Islam / Islamic banks,243.31024447000007,42198.82440434,69240.77510127997,32822.295903700004,144505.20565378998
2025-02-01,Monthly,Bank-bank pelaburan / Investment banks,37.310692659999994,1096.61697357,167.10929548,230.34465024999992,1531.3816119599999
2025-02-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,861.6972019299998,7213.500277590003,8621.11486238,7357.989286029996,24054.30162792999
2025-02-01,Monthly,Jumlah / Total,1779.7015688599997,122082.87690732002,192584.71210055,97766.02329221004,414213.31386894
2025-03-01,Monthly,Bank-bank perdagangan / Commercial banks,652.84451575,72381.38556660003,115451.85557560007,58201.252559169996,246687.33821712012
2025-03-01,Monthly,Bank-bank Islam / Islamic banks,244.28410678999998,42735.68301442998,69895.96070918003,33389.3760557,146265.30388610004
2025-03-01,Monthly,Bank-bank pelaburan / Investment banks,37.3161833,1110.7823751499996,164.23823899999996,229.33407257,1541.67087002
2025-03-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,850.9011656300002,7287.752644270005,8618.933258779998,7371.846039089998,24129.43310777
2025-03-01,Monthly,Jumlah / Total,1785.34597147,123515.60360045003,194130.98778256009,99191.80872653,418623.74608101015
2025-04-01,Monthly,Bank-bank perdagangan / Commercial banks,665.0333882299997,73020.32291721001,115247.47056952,57806.93287308,246739.75974803997
2025-04-01,Monthly,Bank-bank Islam / Islamic banks,250.32703584999996,42841.80171158999,70089.81407473997,33494.764731920004,146676.7075541
2025-04-01,Monthly,Bank-bank pelaburan / Investment banks,36.00102426,1173.2348392200004,166.92414209000003,228.43242454999998,1604.59243012
2025-04-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,839.8521693199995,7202.061960230008,8690.458196879994,7306.775733579997,24039.148060009997
2025-04-01,Monthly,Jumlah / Total,1791.2136176599993,124237.42142825,194194.66698322995,98836.90576313001,419060.2077922698
2025-05-01,Monthly,Bank-bank perdagangan / Commercial banks,668.00143693,74323.93786014004,114840.45785411996,57181.89797744001,247014.29512863
2025-05-01,Monthly,Bank-bank Islam / Islamic banks,252.08539027000003,42767.45761111002,70622.82250780003,33765.962023410015,147408.32753259005
2025-05-01,Monthly,Bank-bank pelaburan / Investment banks,35.99067115,1192.2481900899998,167.64636464,225.82210148000001,1621.70732736
2025-05-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,834.58235914,7192.522557940004,8688.96092091,7373.182401870001,24089.248239860008
2025-05-01,Monthly,Jumlah / Total,1790.6598574899997,125476.16621928006,194319.88764746996,98546.86450420003,420133.57822844014
2025-06-01,Monthly,Bank-bank perdagangan / Commercial banks,706.05492048,75409.24216416002,117020.87850116994,57529.477815270024,250665.65340108
2025-06-01,Monthly,Bank-bank Islam / Islamic banks,247.2181164299999,43916.21614173001,71579.49007717002,34399.197941939994,150142.12227727
2025-06-01,Monthly,Bank-bank pelaburan / Investment banks,35.980408229999995,1227.53693016,189.7443362,228.45916685,1681.7208414400006
2025-06-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,812.4452090399999,7168.512194900009,8708.425361769998,7483.798219130002,24173.180984840008
2025-06-01,Monthly,Jumlah / Total,1801.6986541799997,127721.50743095005,197498.53827630993,99640.93314319004,426662.6775046301
2025-07-01,Monthly,Bank-bank perdagangan / Commercial banks,734.4228713099997,76563.48342246997,116510.98732869005,57446.67995035002,251255.57357282008
2025-07-01,Monthly,Bank-bank Islam / Islamic banks,255.18672744999986,43000.99177886999,72471.72720193997,34996.23234196003,150724.13805022
2025-07-01,Monthly,Bank-bank pelaburan / Investment banks,35.96536097,1233.8202071399996,192.61387329000002,228.88901518,1691.28845658
2025-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,804.28970285,7146.107858949985,8771.62231613,7511.317844349997,24233.33772227998
2025-07-01,Monthly,Jumlah / Total,1829.8646625799995,127944.40326742994,197946.95072005002,100183.11915184006,427904.3378018999
2025-08-01,Monthly,Bank-bank perdagangan / Commercial banks,749.6732441900006,77979.00055352002,116319.59257688,57659.08269225999,252707.34906685003
2025-08-01,Monthly,Bank-bank Islam / Islamic banks,254.15095111000002,43405.254644299996,73541.98766114001,35413.43282299999,152614.82607955002
2025-08-01,Monthly,Bank-bank pelaburan / Investment banks,35.934039430000006,1179.446868,266.63529152,223.98528536000003,1706.0014843100003
2025-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,795.5115578099993,7131.416617429999,8902.943340740005,7170.277719320001,24000.1492353
2025-08-01,Monthly,Jumlah / Total,1835.26979254,129695.11868325001,199031.15887028002,100466.77851993997,431028.3258660099
2025-09-01,Monthly,Bank-bank perdagangan / Commercial banks,758.7406631400004,76595.57414080999,117309.73715109003,59088.46261695001,253752.51457199006
2025-09-01,Monthly,Bank-bank Islam / Islamic banks,252.09217619,43494.126272880014,74110.51563281001,35782.26973674,153639.00381862003
2025-09-01,Monthly,Bank-bank pelaburan / Investment banks,35.921568269999995,1211.48840409,253.43090480000004,253.17462271999997,1754.01549988
2025-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,785.5859418599999,7325.96575034,8746.388906850001,7132.006347000003,23989.946946050008
2025-09-01,Monthly,Jumlah / Total,1832.3403494600002,128627.15456812,200420.07259555004,102255.91332341002,433135.48083654017
2025-10-01,Monthly,Bank-bank perdagangan / Commercial banks,772.6506922200008,76394.05507571001,117241.95544555005,59011.12894209003,253419.79015557008
2025-10-01,Monthly,Bank-bank Islam / Islamic banks,255.28801573000007,43903.64755336001,74836.37806306001,35754.73652705,154750.05015920004
2025-10-01,Monthly,Bank-bank pelaburan / Investment banks,32.79029803,1195.1731254000001,246.71691721,233.0072902500001,1707.6876308900003
2025-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,785.9884588299996,7431.608887999996,8779.58394444,7152.936528059998,24150.117819329993
2025-10-01,Monthly,Jumlah / Total,1846.7174648100004,128924.48464247001,201104.63437026006,102151.80928745003,434027.6457649902
2025-11-01,Monthly,Bank-bank perdagangan / Commercial banks,778.2770374399997,76556.57495411995,117098.53546940001,59714.035064999975,254147.42252595996
2025-11-01,Monthly,Bank-bank Islam / Islamic banks,255.01186763999996,45367.44821226999,74762.44702862002,35313.68783492,155698.59494345
2025-11-01,Monthly,Bank-bank pelaburan / Investment banks,32.80601863,1184.2270698700002,250.38027196000002,233.26145610000006,1700.6748165600002
2025-11-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,786.9566584400001,7451.0068053899995,8855.868328239998,7235.588510689997,24329.420302759994
2025-11-01,Monthly,Jumlah / Total,1853.0515821499998,130559.25704164994,200967.23109822004,102496.57286670996,435876.11258872994
2025-12-01,Monthly,Bank-bank perdagangan / Commercial banks,799.4306868300002,75973.93517535999,117094.93761428993,59911.24890061999,253779.55237709996
2025-12-01,Monthly,Bank-bank Islam / Islamic banks,255.91728061,46187.88650665,75898.01908453998,35805.893360409995,158147.71623221
2025-12-01,Monthly,Bank-bank pelaburan / Investment banks,32.79311342,1280.3286471499998,285.87726259,234.95266147000007,1833.9516846299998
2025-12-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,786.2198994000001,7495.388697399998,8826.225966079994,7041.770567469999,24149.60513034999
2025-12-01,Monthly,Jumlah / Total,1874.3609802600004,130937.53902655999,202105.0599274999,102993.86548996999,437910.82542429
2026-01-01,Monthly,Bank-bank perdagangan / Commercial banks,800.0169461399998,76551.46393665003,117506.01245303998,58520.31994147,253377.81327730004
2026-01-01,Monthly,Bank-bank Islam / Islamic banks,255.38741615,47148.24797609998,76225.97520970998,35548.65017249001,159178.26077444997
2026-01-01,Monthly,Bank-bank pelaburan / Investment banks,31.08648097,1289.0599582899997,280.85777427999994,238.58540749000002,1839.5896210299998
2026-01-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,785.5450835099999,7482.715485320006,8913.94379075,6893.384977800001,24075.58933738001
2026-01-01,Monthly,Jumlah / Total,1872.0359267699996,132471.48735636,202926.78922777995,101200.94049925,438471.25301016006
2026-02-01,Monthly,Bank-bank perdagangan / Commercial banks,788.5918405599996,76205.79320261005,117338.26387526002,59150.36686686,253483.01578529004
2026-02-01,Monthly,Bank-bank Islam / Islamic banks,253.09221922999996,47377.706942100005,77744.88183479999,36175.525183420024,161551.20617955
2026-02-01,Monthly,Bank-bank pelaburan / Investment banks,31.068886489999997,1285.1282317900002,291.92059117,234.32272841,1842.4404378600004
2026-02-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,786.2174273800008,7412.662035770009,8917.88205698,6541.440371560001,23658.20189169001
2026-02-01,Monthly,Jumlah / Total,1858.9703736600004,132281.29041227006,204292.94835821,102101.65515025004,440534.86429439
2026-03-01,Monthly,Bank-bank perdagangan / Commercial banks,798.1350529000003,76877.14125872002,118254.18468441996,60032.39360849003,255961.85460452994
2026-03-01,Monthly,Bank-bank Islam / Islamic banks,249.83214826999995,47197.07529843004,78305.72227419005,36636.765935189986,162389.39565608013
2026-03-01,Monthly,Bank-bank pelaburan / Investment banks,31.077425450000003,1251.5459276800002,303.92613835,210.09485123000002,1796.6443427099998
2026-03-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,787.9330756700007,7280.126430910001,9177.40145761,6109.118092630001,23354.57905682
2026-03-01,Monthly,Jumlah / Total,1866.977702290001,132605.88891574004,206041.23455457,102988.37248754001,443502.4736601401
2026-04-01,Monthly,Bank-bank perdagangan / Commercial banks,802.8078412099999,76861.49429391003,118049.19586197993,60186.548405589994,255900.04640269
2026-04-01,Monthly,Bank-bank Islam / Islamic banks,246.99160953999996,44654.97246454001,78408.33878242,37006.68145458001,160316.98431108
2026-04-01,Monthly,Bank-bank pelaburan / Investment banks,29.76686147,1187.77938268,302.90151811000004,215.71921038000002,1736.16697264
2026-04-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,789.0225812900006,7296.458480879997,9083.1362074,6161.779222470001,23330.396492039992
2026-04-01,Monthly,Jumlah / Total,1868.5888935100006,130000.70462201005,205843.5723699099,103570.72829302,441283.59417844994
