date,frequency,usd_rm_spot,usd_rm_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_rm_total,usd_sgd_spot,usd_sgd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_sgd_total,usd_jpy_spot,usd_jpy_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_jpy_total,gbp_usd_spot,gbp_usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_gbp_usd_total,usd_spot,usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_total,usd_spot_1,usd_swap_1,bank_of_interbank_transactions_in_the_foreign_exchange_market_rm_million_total
2001-01-01,Monthly,2606.0,17739.5,20345.5,4257.8,29.8,4287.6,1643.8,0.0,1643.8,114.8,0.0,114.8,311.2,0.0,311.2,0.0,0.0,0.0
2001-02-01,Monthly,2347.1,19689.7,22036.8,4126.8,0.0,4126.8,1706.0,0.0,1706.0,158.9,0.0,158.9,180.1,0.0,180.1,0.0,0.0,0.0
2001-03-01,Monthly,3127.0,21604.9,24731.9,4633.3,0.0,4633.3,3337.5,0.0,3337.5,68.8,0.0,68.8,741.0,0.0,741.0,0.0,0.0,0.0
2001-04-01,Monthly,2931.9,22890.0,25821.9,3906.7,0.0,3906.7,3928.3,0.0,3928.3,137.0,0.0,137.0,703.4,0.0,703.4,0.0,0.0,0.0
2001-05-01,Monthly,2760.3,18638.2,21398.5,5047.4,0.0,5047.4,2188.6,0.0,2188.6,53.4,0.0,53.4,301.7,0.0,301.7,11.6,0.0,11.6
2001-06-01,Monthly,2229.7,16170.2,18399.9,6041.3,4.2,6045.5,2041.5,0.0,2041.5,60.4,0.0,60.4,346.4,0.0,346.4,0.0,0.0,0.0
2001-07-01,Monthly,1695.4,17921.6,19617.0,3934.6,28.3,3962.9,2107.8,0.0,2107.8,202.6,0.0,202.6,303.0,0.0,303.0,13.3,0.0,13.3
2001-08-01,Monthly,1588.2,16001.0,17589.2,3067.5,0.0,3067.5,1940.6,0.0,1940.6,63.8,0.0,63.8,357.8,0.0,357.8,88.1,0.0,88.1
2001-09-01,Monthly,1757.2,11780.8,13538.0,2799.9,0.0,2799.9,1750.5,0.0,1750.5,69.1,0.0,69.1,123.5,0.0,123.5,40.1,0.0,40.1
2001-10-01,Monthly,1931.2,13336.6,15267.8,1874.7,4.2,1878.9,1891.5,0.0,1891.5,73.1,0.0,73.1,120.4,0.0,120.4,11.4,0.0,11.4
2001-11-01,Monthly,1619.8,9730.7,11350.5,1555.2,0.0,1555.2,1371.2,0.0,1371.2,229.1,0.0,229.1,62.9,0.0,62.9,20.4,0.0,20.4
2001-12-01,Monthly,1388.2,7507.5,8895.7,504.8,0.0,504.8,536.7,0.0,536.7,106.4,0.0,106.4,49.9,0.0,49.9,0.0,0.0,0.0
2002-01-01,Annual,20590.6,121730.7,142321.3,18900.8,18.2,18919.0,16332.1,0.0,16329.1,1177.8,0.0,1177.8,1110.3,19.1,1129.4,91.6,0.0,91.6
2002-01-01,Monthly,1777.1,13697.1,15474.2,1718.8,0.0,1718.8,1172.8,0.0,1172.8,86.0,0.0,86.0,43.3,0.0,43.3,0.0,0.0,0.0
2002-02-01,Monthly,1583.5,8831.0,10414.5,1740.5,0.0,1740.5,1502.9,0.0,1502.9,83.5,0.0,83.5,49.8,0.0,49.8,0.0,0.0,0.0
2002-03-01,Monthly,1517.5,13852.1,15369.6,1545.4,1.0,1546.4,1127.7,0.0,1127.7,138.4,0.0,138.4,60.8,0.0,60.8,0.0,0.0,0.0
2002-04-01,Monthly,1845.3,13479.7,15325.0,1634.7,0.0,1634.7,1151.0,0.0,1151.0,12.0,0.0,12.0,29.4,0.0,29.4,27.4,0.0,27.4
2002-05-01,Monthly,1806.9,8022.2,9829.1,1970.6,0.0,1970.6,1116.1,0.0,1116.1,138.8,0.0,138.8,130.1,0.0,130.1,3.8,0.0,3.8
2002-06-01,Monthly,1697.1,7978.9,9676.0,1637.4,8.5,1645.9,778.3,0.0,778.3,68.2,0.0,68.2,54.9,0.0,54.9,0.0,0.0,0.0
2002-07-01,Monthly,1721.4,10682.1,12403.5,1831.0,2.2,1833.2,1667.8,0.0,1667.8,169.5,0.0,169.5,152.1,19.1,171.2,52.7,0.0,52.7
2002-08-01,Monthly,1593.2,10305.0,11898.2,1400.7,0.0,1400.7,1902.8,0.0,1902.8,74.6,0.0,74.6,173.0,0.0,173.0,0.0,0.0,0.0
2002-09-01,Monthly,1781.0,8535.0,10316.0,1882.0,0.0,1882.0,1849.0,0.0,1849.0,104.0,0.0,104.0,94.0,0.0,94.0,0.0,0.0,0.0
2002-10-01,Monthly,1731.1,8430.7,10161.8,2011.6,0.0,2011.6,2048.8,0.0,2045.8,140.6,0.0,140.6,84.6,0.0,84.6,3.8,0.0,3.8
2002-11-01,Monthly,1584.6,8363.0,9947.6,1124.7,6.5,1131.2,1383.4,0.0,1383.4,99.4,0.0,99.4,139.3,0.0,139.3,3.9,0.0,3.9
2002-12-01,Monthly,1951.9,9553.9,11505.8,403.4,0.0,403.4,631.5,0.0,631.5,62.8,0.0,62.8,99.0,0.0,99.0,0.0,0.0,0.0
2003-01-01,Annual,29672.1,148797.1,178469.2,11813.0,0.0,11813.0,27735.5,0.0,27735.5,3234.9,0.0,3234.9,8148.7,82.2,8230.9,104.9,0.0,104.9
2003-01-01,Monthly,1824.0,10143.7,11967.7,846.6,0.0,846.6,1847.8,0.0,1847.8,139.1,0.0,139.1,230.9,0.0,230.9,0.0,0.0,0.0
2003-02-01,Monthly,1364.0,9779.0,11143.0,991.0,0.0,991.0,1451.0,0.0,1451.0,290.0,0.0,290.0,119.0,0.0,119.0,0.0,0.0,0.0
