date,frequency,equities_and_liabilities,total_equities,deposits_under_the_new_investment_fund,special_account,domestic_banks_deposits_others,residents_bank_negara_malaysia,residents_commercial_banks,residents_islamic_banks,residents_investment_banks,residents_other_banking_institutions,non_residents,investment_account_of_customers,investment_account_due_to_designated_financial_institutions,acceptances_payable,residents,bills_payable_non_residents,other_liabilities,bank_domestic_banks_total_equities_and_liabilities,bank_foreign_banks_total_equities,total_deposits_under_the_new_investment_fund,total_deposits_special_account,foreign_banks_deposits_others,amount_due_to_designated_financial_institutions_residents_bank_negara_malaysia,amount_due_to_designated_financial_institutions_residents_commercial_banks,amount_due_to_designated_financial_institutions_residents_islamic_banks,amount_due_to_designated_financial_institutions_residents_investment_banks,amount_due_to_designated_financial_institutions_residents_other_banking_institutions,amount_due_to_designated_financial_institutions_non_residents,total_investment_account_investment_account_of_customers,total_investment_account_investment_account_due_to_designated_financial_institutions,total_investment_account_acceptances_payable,bills_payable_residents,total_liabilities_bills_payable_non_residents,bills_payable_other_liabilities,bank_foreign_banks_total_equities_and_liabilities,rm_million_total_equities_and_liabilities
2012-09-01,Monthly,Bank Perdagangan/Commercial Banks,137151.675,13242.0,0.469,,,,,,,50749.888,0.0,0.0,11563.252,6557.992,18.571,123165.858,,,,,,,,,,,,,,,,,,,
2012-10-01,Monthly,Bank Perdagangan/Commercial Banks,142248.4,13351.681,0.444,,,,,,,51282.768,0.0,0.0,11406.468,6231.002,23.142,128425.212,,,,,,,,,,,,,,,,,,,
2012-11-01,Monthly,Bank Perdagangan/Commercial Banks,142677.787,13420.375,0.476,,,,,,,49989.223,0.0,0.0,11460.056,5956.319,20.192,125101.396,,,,,,,,,,,,,,,,,,,
2012-12-01,Monthly,Bank Perdagangan/Commercial Banks,145355.555,13551.178,0.434,,,,,,,56275.456,0.0,0.0,10504.446,6636.585,22.269,120313.866,,,,,,,,,,,,,,,,,,,
2013-01-01,Monthly,Bank Perdagangan/Commercial Banks,113667.902596,9880.593909,0.453127,808199.0281209999,4088.735506,20968.011929,2150.41888,4751.694,711.890127,18982.353933,,,8374.212752,4435.517117,0.609575,100451.20627800009,1096662.62785,32607.392973,3333.257345,0.0,262020.558164,592.22482,7044.450579,24.241432,121.281254,75.48,27146.838581,,,3280.959135,2623.667753,0.016151,27557.317809000015,366427.685996,1463090.313846
2013-02-01,Monthly,Bank Perdagangan/Commercial Banks,113516.302959,10198.385801,0.426167,814910.1968179999,3664.7951,19757.348189,5043.790715,4297.62675,873.456962,22294.727409,,,9348.243554,3954.619553,0.042324,100388.82871700016,1108248.791018,32882.40875,3413.291903,0.0,258531.843695,704.287432,4703.501939,13.532449,80.463699,69.88,26914.996721,,,3564.150287,2111.417387,159.69961,26182.394410000048,359331.868282,1467580.6593000002
2013-03-01,Monthly,Bank Perdagangan/Commercial Banks,113207.634999,10396.642584,0.426167,820460.536558,3819.159,17763.655024,3462.536761,4465.172,1046.254324,23557.841056,,,8928.918253,3892.021907,0.218944,98726.69196499995,1109727.709542,33207.747499,3475.289667,0.0,263074.6141,764.889814,3998.517853,21.567689,136.194022,75.56,27184.581337,,,3452.055689,2371.308881,0.057796,21931.815347000003,359694.199694,1469421.909236
2013-04-01,Monthly,Bank Perdagangan/Commercial Banks,114070.658741,10177.674652,0.428886,831651.863449,4057.8335,13584.218429,3073.799854,3315.759,828.081308,23457.965927,,,9581.12121,3820.515212,0.133834,98011.32222900011,1115631.376231,32427.263124,3415.506937,0.0,261419.359461,955.89851,5889.123792,16.733271,134.468509,117.265991,26513.643047,,,3368.147641,2229.571563,0.015862,25061.230408000014,361548.228116,1477179.6043470001
2013-05-01,Monthly,Bank Perdagangan/Commercial Banks,114962.729607,10374.552059,0.434341,835614.6622139999,5387.91745,13643.147887,3327.384339,4332.398454,778.848256,21533.032485,,,8559.828222,3369.447272,0.108522,96388.58677000001,1118273.077878,32803.370266,3471.424503,0.0,266458.652797,863.80946,6809.592932,17.720017,86.643741,79.395992,32023.252532,,,3285.206139,2302.880059,2.2e-05,23605.640540999997,371807.589001,1490080.666879
2013-06-01,Monthly,Bank Perdagangan/Commercial Banks,116189.200625,10452.093752,0.206265,844571.2674639999,4178.662025,21485.289362,3563.999171,2634.509657,640.970082,25249.345604,,,8118.923562,3567.394707,0.157411,97447.27382099994,1138099.293508,32619.542173,3514.754663,0.0,266294.384865,795.252176,7178.223632,16.406279,72.574462,74.295992,35335.48231,,,3318.317084,2155.522262,0.031634,25511.951742999987,376886.739275,1514986.032783
2013-07-01,Monthly,Bank Perdagangan/Commercial Banks,115999.175526,10596.74021,0.19348,845753.812957,2086.512121,21433.195283,4576.606129,2834.051401,803.248383,33659.926194,,,7901.741428,3839.705151,0.115557,98931.90733400016,1148416.931154,33092.345266,3600.698357,0.0,268454.17048599996,717.005276,5842.487782,12.986637,241.035064,147.804991,40412.331226,,,3121.167513,2324.544759,0.001038,27259.310867000007,385225.889262,1533642.8204160002
2013-08-01,Monthly,Bank Perdagangan/Commercial Banks,115797.800433,10614.507461000001,0.071087,842998.905518,399.405538,25344.220008,2278.297031,2823.493335,581.691529,33887.507154,,,7076.478481,3219.21012,0.11876,102112.20259100017,1147133.909046,33429.076418,3601.1111229999997,0.0,269202.579135,958.652397,4855.30638,10.103394,10.147049,96.991992,32619.292714,,,2823.120603,2193.90064,2.4e-05,27822.895370000002,377623.177239,1524757.0862850002
2013-09-01,Monthly,Bank Perdagangan/Commercial Banks,117443.733412,10601.313939999998,0.283736,849796.280475,720.151841,17087.719865,3732.298895,1699.706714,688.081658,30494.705325,,,6206.166053,4715.44281,0.074193,101403.33277100006,1144589.291688,33590.02112,3649.3276370000003,0.0,269753.48981,1074.147888,5947.061661,11.17055,156.06094,141.895492,35700.77748,,,2521.431161,2298.142248,0.0,28594.457338999997,383437.983326,1528027.275014
2013-10-01,Monthly,Bank Perdagangan/Commercial Banks,118881.356795,10339.479207,0.900719,854383.342466,699.210982,17009.955787,4223.930804,2362.635703,597.462294,25516.651184,,,6342.005582,3175.262249,0.136128,100001.93540100002,1143534.265301,34037.83899,3721.9201169999997,0.0,268699.65295899997,1051.236285,7637.820847,31.18422,99.650138,131.694992,36772.67652,,,2371.436118,2060.146196,0.002,23583.723374000012,380198.982756,1523733.248057
2013-11-01,Monthly,Bank Perdagangan/Commercial Banks,119167.319789,10381.726986000001,0.455048,844950.4562890001,2251.921884,23795.206522,3813.475735,2643.514331,487.692258,27684.930801,,,5400.517395,3285.628695,0.220622,101993.68406799991,1145856.750423,34284.57624,3597.47998,0.0,268866.504809,1044.973748,7033.856773,102.585782,47.016738,195.504992,38685.557011,,,1991.801295,2093.422727,0.035782,24590.915815999964,382534.231693,1528390.982116
2013-12-01,Monthly,Bank Perdagangan/Commercial Banks,121435.478386,10175.072532,0.717788,861992.186448,2650.503499,18185.311756,5023.845676,1334.379661,493.740781,30831.884579,,,4321.850256,3718.820211,0.312192,103384.42292199982,1163548.526687,34411.386944,3651.5747250000004,0.0,274204.262544,911.159154,8438.67028,0.0,203.812873,166.810992,39436.041629,,,1680.195657,2789.613662,0.049,27450.504341000014,393344.081801,1556892.608488
2014-01-01,Monthly,Bank Perdagangan/Commercial Banks,124327.912515,9861.871881,0.659975,864405.10834,1841.555,21887.855241,4336.171761,1685.238263,746.912018,23266.47044,,,4757.46457,2822.074487,0.29486,107779.63327899999,1167719.22263,34961.458366,3482.740534,0.0,272718.739664,647.82234,6588.543673,0.0,143.282055,268.290992,42645.907226,,,2041.879782,2018.892732,0.0,30664.81122200005,396182.368586,1563901.591216
