date,frequency,purpose,securities,fixed_assets_non_property_total,transport_vehicles_total,passenger_cars,transport_vehicles_others,fixed_assets_non_property_others,residential_property_total,cost_up_to_300k,cost_300k_to_500k,cost_500k_to_1m,cost_above_1m,non_residential_property_total,industrial_buildings_factories,land_only,commercial_complexes,shophouses_shoplots,other_non_residential_property,personal_uses_total,consumer_durable_goods,personal_uses_others,credit_card,construction,working_capital,other_purposes,total_impaired
2021-07-01,Monthly,Jumlah / Total,355.39102981999997,2073.4032956000005,1776.9348622800007,1303.8755058300003,473.0593564500003,296.4684333199997,9012.28728042,1962.0694613300002,1390.5452168699999,2500.54859589,3159.1240063299997,3811.7563591800003,445.80516728,994.5153665300002,304.41764942,1239.33486138,827.6833145700004,2743.4132125600004,1.9894576199999996,2741.4237549400004,340.47664754999994,4151.092975990001,9695.874772420002,1594.8305506999693,33778.52612423997
2021-07-01,Monthly,Bank-bank Islam / Islamic Banks,36.8947417,752.5428540300002,654.0355136600002,644.1152505100001,9.920263150000096,98.50734036999995,2649.2420403799997,560.96378125,478.7481085999999,757.5148742799998,852.01527625,1031.4581494400002,86.98997607000001,125.24290583999999,88.76935543999997,380.74566774000004,349.71024435000004,1100.23326417,0.88076675,1099.35249742,38.2738788,812.3611215900002,3606.3615669499995,558.3889008899987,10585.756517949996
2021-07-01,Monthly,Bank-bank Pelaburan / Investment Banks,101.66163127,2.58450916,2.58450916,0.43793266,2.1465765,0.0,1.0000738,1.0000738,0.0,0.0,0.0,1.0143436399999999,0.0,0.0,1.0143436399999999,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,52.925159869999995,114.49585241000005,273.68157115
2021-07-01,Monthly,Bank-bank Perdagangan / Commercial Banks,216.83465685,1318.2759324100002,1120.3148394600005,659.3223226600003,460.9925168000002,197.96109294999974,6362.045166239999,1400.10560628,911.79710827,1743.03372161,2307.1087300799995,2779.2838661000005,358.81519120999997,869.2724606900001,214.63395033999998,858.5891936399998,477.9730702200004,1643.1799483900004,1.1086908699999996,1642.0712575200005,302.20276874999996,3338.7318534000005,6036.588045600003,921.9457973999706,22919.088035139976
2021-08-01,Monthly,Bank-bank Perdagangan / Commercial Banks,233.46054776000003,1319.8586405099998,1124.6265145699997,671.4033828899999,453.2231316799998,195.23212594000006,6395.481997600002,1402.14910914,917.0108049,1786.7073292300004,2289.614754330001,2797.6580984400002,356.39395182,868.1664834,212.52055191000002,857.6922726100001,502.8848387000003,1687.3626725399993,1.0285377,1686.3341348399993,295.0536769399999,3300.1526148899993,6036.604272600002,921.8267850199845,22987.45930629999
2021-08-01,Monthly,Jumlah / Total,408.06390280000005,2132.2997931599994,1833.6254174699995,1368.9335439999998,464.69187346999985,298.6743756899998,8960.450550560001,1946.05954765,1379.5091259600001,2514.1947572500003,3120.6871197000005,3842.29111816,452.55675401999997,1001.2460327299999,299.81444305,1233.4543337700002,855.2195545900003,2778.7757871999993,1.9116270499999999,2776.864160149999,333.20258553999986,4151.158733169999,9760.766272400002,1575.6323931799877,33942.641136169994
2021-08-01,Monthly,Bank-bank Pelaburan / Investment Banks,98.77660587000001,2.58590685,2.58590685,0.43997379,2.1459330600000004,0.0,0.97579428,0.97579428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,53.043613779999994,109.47473994999993,264.8566617299999
2021-08-01,Monthly,Bank-bank Islam / Islamic Banks,75.82674917000001,809.8552457999997,706.41299605,697.0901873199999,9.32280873000002,103.44224974999975,2563.9927586799995,542.93464423,462.4983210600001,727.4874280199999,831.0723653699997,1044.63301972,96.16280219999999,133.07954933,87.29389114,375.76206116000003,352.33471589,1091.4131146599998,0.88308935,1090.5300253099997,38.14890859999999,851.00611728,3671.118386019999,544.3308682100032,10690.32516814
2021-09-01,Monthly,Bank-bank Islam / Islamic Banks,62.06802925999999,734.2552318799999,649.3827974499999,641.7796776299999,7.603119819999961,84.87243443,2608.7293219700005,541.21384958,471.64022987000004,747.8883237000001,847.9869188200004,1005.4171998300001,89.90927952000001,118.92202039,87.85274926,360.97826343,347.75488722999995,1098.8495807000004,0.8017797,1098.0478010000004,45.90654975000001,829.7336328499999,2785.1118446400005,404.93622201999096,9575.007612899992
2021-09-01,Monthly,Bank-bank Pelaburan / Investment Banks,98.79806781,2.58712861,2.58712861,0.44203058000000006,2.14509803,0.0,0.9768568800000001,0.9768568800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,52.94895447,109.84371520000002,265.15472397
