date,frequency,sector,agriculture_forestry_and_fishing,mining_and_quarrying,manufacturing,electricity_gas_steam_and_air_conditioning_supply,water_supply_sewerage_waste_management_and_remediation_activities,construction,wholesale_retail_motor_trade_total,wholesale_trade_except_of_motor_vehicles_and_motorcycles,retail_trade_except_of_motor_vehicles_and_motorcycles,wholesale_retail_motor_trade_others,accommodation_and_food_service_activities,transportation_storage,information_communication,financial_and_insurance_takaful_activities,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education_health_and_others,other_sector,financing
2021-07-01,Monthly,Bank-bank perdagangan / Commercial banks,144.93432343,29.54020163,915.81715362,27.192775099999995,16.029103990000003,1142.8454719,1049.0966086899996,612.4622831199997,351.3199403199999,85.31438524999999,271.5581440699999,223.44582674,58.56301542999999,39.60271030999999,647.7845893699996,367.33715108999996,80.60210939999999,685.56527391,10.226704329998029,5710.141163009997
2021-07-01,Monthly,Bank-bank Islam / Islamic banks,64.29219836,9.973724309999998,334.7728609100001,125.91033424999998,8.45837273,376.23438624,455.00907713000004,278.21720834,105.64117386000002,71.15069492999999,129.62523944,74.55112008000002,23.94506759,16.773287,443.39991937999986,124.1195963,44.614780689999996,139.92105096999998,3.671463090000543,2375.2724784700004
2021-07-01,Monthly,Bank-bank pelaburan / Investment banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.991383670000005,0.31072088,0.0,0.0,0.0,35.302104549999996
2021-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,460.06910262,9.33423575,398.3825113500002,8.34534006,12.026583500000001,624.6777663899999,356.3783516800001,218.61805967000004,96.54466224999999,41.21562976000007,314.93286813,163.33851570000002,62.8712063,176.34377395,171.67870437999997,80.70658153000002,12.898075399999998,300.48118249000004,30.093859549998342,3182.558658779998
2021-07-01,Monthly,Jumlah / Total,669.2956244100001,48.848161690000005,1648.97252588,161.44844941,36.514060220000005,2143.7576245299997,1860.4840374999997,1109.2975511299996,553.50577643,197.68070994000004,716.11625164,461.33546252,145.37928931999997,232.71977126,1297.8545967999994,572.4740498000001,138.11496548999997,1125.9675073699998,43.992026969994185,11303.274404809994
2021-08-01,Monthly,Bank-bank perdagangan / Commercial banks,144.07246649999996,26.296531629999997,933.8868243100001,28.880294539999998,19.371764179999996,1168.16787202,1041.4121025699997,607.3861143099997,345.43501448000006,88.5909737799999,277.64681771000005,220.94912329,58.109941170000006,39.83014774999999,659.0193246099998,352.34658499999995,74.52746814000001,637.23478258,9.845028820000152,5691.597074819999
2021-08-01,Monthly,Bank-bank Islam / Islamic banks,64.23126454,10.01058508,317.47013044,125.74528520999999,9.162784910000001,382.06587412,457.4777032799999,280.6612283199999,107.00898956000002,69.80748539999996,130.47561369,74.20763983000002,23.904515649999997,16.737979349999996,448.74083703999975,127.95964852999998,43.80392447,139.21238975000003,3.6766896400004043,2374.88286553
2021-08-01,Monthly,Bank-bank pelaburan / Investment banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.81756874,0.21274337,0.0,0.0,0.0,29.03031211
2021-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,460.75283289000004,9.3066334,416.601177,8.52113017,12.09023971,621.3562682099999,351.09333157999987,217.53161498999992,92.00209574999998,41.55962083999998,316.44680161,162.47271991999997,62.410592890000004,176.38181468000002,172.04728756,80.86807456999998,13.205908919999999,298.2657234,30.75432369000191,3192.5748602000012
2021-08-01,Monthly,Jumlah / Total,669.0565639299999,45.613750110000005,1667.95813175,163.14670991999995,40.6247888,2171.5900143500003,1849.9831374300002,1105.57895762,544.4460997900001,199.95808002000012,724.5692330100001,457.6294830399999,144.42504971,232.94994178,1308.6250179499998,561.3870514700001,131.53730153000004,1074.71289573,44.27604214999883,11288.085112659997
2021-09-01,Monthly,Bank-bank perdagangan / Commercial banks,141.60104823999998,26.18062148,874.8837701,27.73162966,19.667886589999995,1127.5820002000003,1042.2089160000003,623.6014830900001,337.59105268,81.0163802300001,270.63568416999993,205.1835574,57.07110904999999,40.02278168999999,635.5873366099997,363.42394225,69.13328367000001,662.6862987299999,9.41076927999893,5573.01063512
2021-09-01,Monthly,Bank-bank Islam / Islamic banks,64.09784193,9.96694692,315.10863376000003,125.82368785000003,9.045668730000001,369.4770593900001,446.68861791,274.32888651,99.43760547000001,72.92212592999999,129.77142927,74.77091351,22.813928029999996,16.696122559999996,411.38397514,112.59782505000001,43.68839984,149.88092124,2.9488668100011637,2304.7608379400012
2021-09-01,Monthly,Bank-bank pelaburan / Investment banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.053893379999998,0.0,0.0,0.0,0.0,29.053893379999998
2021-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,466.46173991999996,9.329154200000001,413.7301019100001,8.50462969,11.976738169999999,621.8564607100001,337.10486961000004,221.99827625000003,88.65797977000001,26.44861358999998,315.68919708000004,162.87219266999995,62.534123459999996,176.20320225999998,172.50325817,80.75488558,12.75441648,292.33529092,29.31233293999867,3173.9225937699994
2021-09-01,Monthly,Jumlah / Total,672.1606300900002,45.4767226,1603.72250577,162.05994719999998,40.69029349,2118.9155203000005,1826.00240352,1119.92864585,525.6866379200001,180.38711974999978,716.09631052,442.82666358,142.41916053999995,232.92210651000002,1248.5284633,556.7766528800001,125.57609999,1104.90251089,41.67196903000331,11080.747960210003
2021-10-01,Monthly,Bank-bank perdagangan / Commercial banks,138.13951894,26.03780936,894.4114258600002,13.850645989999999,18.900123419999996,1149.8352390800003,1038.2009754199998,623.87563654,334.77064924,79.55468963999988,273.8743266899999,205.94239320000003,54.40506231,38.11736996,640.9022973600003,344.94176853999994,77.612839,592.92257914,9.72690536999562,5517.821279639998
2021-10-01,Monthly,Bank-bank Islam / Islamic banks,62.04829581999999,10.02809062,301.77631417000003,125.38584793000001,9.02127252,370.82956573,446.40030062000005,274.10928558000006,96.32857039000001,75.96244464999995,129.43019641000004,71.94605703999999,22.77039177,16.6257403,414.22496844000005,113.96760715,47.72050297,150.10017172,3.1899302200013153,2295.4652534300017
2021-10-01,Monthly,Bank-bank pelaburan / Investment banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.300129350000002,0.36216459,0.0,0.0,0.0,29.66229394
2021-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,436.0341501499999,9.33335985,453.27786225999995,8.336563,11.89403131,627.0021566500002,345.13621534,227.01045614999998,90.29104335000001,27.83471584,327.9431347299999,178.21812446,61.236625150000016,176.1671084699999,47.11268457,91.12486348999998,13.35343689,305.63281420000004,28.428966729997228,3120.232097249998
