date,frequency,type,overdraft_facilities,term_loans_total,hire_purchase_receivables_total,passenger_cars,hire_purchase_receivables_others,leasing_receivables,block_discounting_receivables,bridging_loans,factoring_receivables,personal_loans,housing_loans,other_term_loans,trade_bills,trust_receipts,revolving_credit,credit_charge_card,foreign_currency_loans,term_loans_others,total_impaired
2021-07-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1921.3683777100005,17829.743636909996,807.5079392999999,665.3835795299999,142.12435976999996,0.0,0.00013893,275.72737264999995,38.55385262,1006.6287819899999,5999.322825509997,9702.002725909999,808.17506557,128.80374643,674.8047339099999,302.1476843100001,1059.90681226,194.1379780399784,22919.088035139976
2021-07-01,Monthly,Bank-bank Islam / Islamic Banks,612.5490929199998,8142.6975950999995,674.7364394299997,625.9653052799997,48.77113414999998,6.43302633,0.0,91.04430661999999,0.0,827.97447273,2579.3881353799984,3963.121214610002,317.49617867999996,25.096865830000002,503.48324434999995,38.273878800000006,914.81223474,31.34742752999432,10585.756517949994
2021-07-01,Monthly,Bank-bank Pelaburan / Investment Banks,0.0,196.22916739,0.0,0.0,0.0,0.0,0.0,6.09750822,0.0,0.0,0.0,190.13165916999998,0.0,0.0,0.7200667199999999,0.0,0.0,76.73233703999998,273.68157114999997
2021-07-01,Monthly,Jumlah/Total,2533.91747063,26168.670399399994,1482.2443787299994,1291.3488848099996,190.89549391999992,6.43302633,0.00013893,372.86918748999994,38.55385262,1834.6032547199998,8578.710960889995,13855.255599690001,1125.67124425,153.90061226,1179.0080449799998,340.4215631100001,1974.719047,302.2177426099727,33778.52612423997
2021-08-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1897.8761622699994,17958.83339376,812.2460637099998,675.8831855999997,136.36287811000008,0.0,0.00013893,276.3291964,53.33262552999999,1014.5790138300002,6035.945376580001,9766.400978779997,806.4882107799999,138.73742547000003,640.91623998,294.9824063299998,1027.18298294,222.442484769992,22987.459306299996
2021-08-01,Monthly,Bank-bank Islam / Islamic Banks,631.66978824,8204.839125480003,731.7096933799997,679.1801740199998,52.52951935999998,6.80198639,0.0,91.37307254,0.0,826.8301780899998,2488.1034890400006,4060.0207060400026,358.87870239,25.09746692,503.81471181000006,38.14890859999999,900.49688524,27.379579459996762,10690.325168140002
2021-08-01,Monthly,Bank-bank Pelaburan / Investment Banks,0.0,191.03185628,0.0,0.0,0.0,0.0,0.0,6.09675739,0.0,0.0,0.0,184.93509889,0.0,0.0,1e-06,0.0,0.0,73.82480444999993,264.8566617299999
2021-08-01,Monthly,Jumlah/Total,2529.5459505099993,26354.704375520003,1543.9557570899997,1355.0633596199996,188.89239747000005,6.80198639,0.00013893,373.79902633,53.33262552999999,1841.40919192,8524.048865620001,14011.35678371,1165.3669131699999,163.83489239000002,1144.7309527900002,333.13131492999975,1927.67986818,323.6468686799887,33942.64113617
2021-09-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1670.8666780099993,17872.034800169997,714.3272063900005,589.1000466600004,125.22715973000003,0.0,0.01374158,277.07834969,66.02286805,1026.7781811199998,6306.874132909998,9480.940320429996,796.5695974999999,141.66405003999998,641.63830892,295.55418583999995,1029.0119572599997,201.34802191002132,22648.687599650013
2021-09-01,Monthly,Bank-bank Islam / Islamic Banks,582.4343737100002,7486.454622870001,670.5178145899998,624.9593779799998,45.558436610000015,6.6805113899999995,0.0,91.56083122000001,0.0,836.7523236799999,2534.65514871,3346.287993280001,180.65885457000002,23.0864526,333.44983949999994,45.906549749999996,898.31165837,24.70526152999355,9575.007612899994
2021-09-01,Monthly,Bank-bank Pelaburan / Investment Banks,0.0,191.29948962,0.0,0.0,0.0,0.0,0.0,6.09675739,0.0,0.0,0.0,185.20273223,0.0,0.0,1e-06,0.0,0.0,73.85523335000002,265.15472397
2021-09-01,Monthly,Jumlah/Total,2253.3010517199996,25549.78891266,1384.8450209800003,1214.05942464,170.78559634000004,6.6805113899999995,0.01374158,374.7359383,66.02286805,1863.5305047999996,8841.529281619998,13012.431045939997,977.2284520699999,164.75050263999998,975.0881494199999,341.46073558999996,1927.3236156299997,299.9085167900149,32488.849936520008
2021-10-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1664.2669979699997,17504.391352370014,650.2379246699996,532.1549090599997,118.08301560999996,0.0,0.00013893,278.24533404000005,51.630573319999996,1000.13951585,6210.203894289999,9313.933971270017,761.84779865,150.60682000999998,573.4313339500001,289.26865392,1011.57491341,201.14242561998583,22156.530295900004
