date,frequency,lcr,hqla_stock,net_cash_outflows,cb_lcr,cb_hqla_stock,cb_net_cash_outflows,ibs_lcr,ibs_hqla_stock,ibs_net_cash_outflows,inv_banks_lcr,inv_banks_hqla_stock,inv_banks_net_cash_outflows
2015-06-01,Monthly,1.1838032948944024,482410.58834936,407509.07725121,1.237706116714144,354074.20742799,286072.92365007004,1.0506520132966064,106605.85853577,101466.38200528001,1.0881708026197467,21730.522385599998,19969.771595860002
2015-07-01,Monthly,1.239816239606889,456178.64343531,367940.52929969,1.3166067275111595,341595.20290899,259451.20571784003,1.0301448275540197,92652.33721917,89941.07890554001,1.1823816048297349,21931.103307150002,18548.244676309998
2015-08-01,Monthly,1.1985997521863367,465439.27835743,388319.18453882,1.261848449693867,352687.13818598,279500.39346765005,1.0026723320341813,89533.08644844002,89294.46199717,1.1892369584125766,23219.05372301,19524.329074000005
2015-09-01,Monthly,1.1666933852804247,470013.5436488,402859.5255434899,1.2168644724565207,354871.68551382003,291627.94505572994,0.9941367263056808,92551.51731819,93097.37269452,1.2457307798806154,22590.34081679,18134.207793240003
2015-10-01,Monthly,1.1995728495466256,458640.78081351,382336.74677353003,1.2415053857872251,348254.51937745995,280509.87403219,1.0741265915677234,89482.00365853,83306.75765873001,1.1287326069128296,20904.25777752,18520.115082610002
2015-11-01,Monthly,1.2159490476468107,461202.70032327995,379294.42949589994,1.277133964247153,348157.75205090997,272608.63918542996,1.0204341636359933,92505.10172907001,90652.68983102,1.281090115391368,20539.8465433,16033.10047945
2015-12-01,Monthly,1.2512381789199796,475894.50802983996,380338.86437242007,1.3088011229442644,359415.70682432,274614.45480409,1.09527205065016,97096.59770698,88650.66688166001,1.135205318144585,19382.20349854,17073.74268667
2016-01-01,Monthly,1.234188032907161,475820.85897964006,385533.52187254,1.2820146206183998,360234.3530100001,280990.83053845,1.0976927642252974,96100.96576890002,87548.14543824,1.146576102718831,19485.540200739997,16994.54589585
2016-02-01,Monthly,1.293705657352892,487799.38800281007,377055.9286267,1.341609819808757,369807.6115805001,275644.68157606,1.1601796148168295,98258.95556026002,84692.88229631,1.1803080715139478,19732.82086205,16718.36475433
2016-03-01,Monthly,1.2446550475723497,477169.9481297399,383375.2565101801,1.294731850782636,356385.26951858995,275257.97662517003,1.116186157258588,101042.17288036,90524.48126442,1.122192446839246,19742.505730790002,17592.79862059
2016-04-01,Monthly,1.2661762934194882,475188.95771383995,375294.46743196005,1.3184878091587697,354925.78220834996,269191.55394755,1.1359124638394258,100955.86892920999,88876.45143709001,1.1207934933617858,19307.306576280003,17226.46204732
2016-05-01,Monthly,1.2554280471394736,483602.5565563901,385209.29786322,1.3158318272283651,356555.89492736006,270973.75785353995,1.1048292065982663,107065.26480349999,96906.62064695999,1.1530665246510594,19981.396825530002,17328.91936272
2016-06-01,Monthly,1.2341758423392317,496183.0516812499,402035.94549444,1.2631257296705831,370625.9943828199,293419.71719591,1.1441103436134181,106757.52027926,93310.51054227,1.2282688939224058,18799.53701917,15305.71775626
2016-07-01,Monthly,1.2379498316612252,485250.93977278005,391979.48685983004,1.2637178675339669,356602.79892358003,282185.45300737,1.159865989405764,108325.89669772,93395.18331184001,1.2392480863912831,20322.244151479998,16398.850540620002
2016-08-01,Monthly,1.2764096877692943,486078.24118949,380816.79091529,1.313640898926599,362583.69148276,276014.31394153,1.1659266031802538,102956.49308281,88304.437691,1.2448786350861527,20538.056623919998,16498.039282759997
2016-09-01,Monthly,1.2640808959761047,497377.79719992995,393469.91065462,1.2915844660760423,367070.9595543699,284202.05506928,1.1811188863685533,110791.79852784998,93802.41041482998,1.2618478745714927,19515.03911771,15465.44517051
2016-10-01,Monthly,1.2054988115210497,497879.93305170996,413007.40265642,1.2203812722896914,368576.92786228,302017.8498566701,1.1451552952564532,110366.81558779998,96377.16041219,1.2958993366309401,18936.18960163,14612.392387559998
2016-11-01,Monthly,1.1553118332623682,488198.98524993996,422569.01660166006,1.1543519617054623,359480.32679692,311413.10338816995,1.1439610568363714,109767.93247417001,95954.25632559,1.2466223990316563,18950.725978849998,15201.656887899997
