date,frequency,funds_raised_in_the_capital_market_by_public_sector,malaysian_government_securities,mgs_advanced_subscriptions,bonds,malaysian_government_investment_issues,bon_savings_bonds,sukuk_government_housing_sukuk,new_issues_of_debt_securities,mgs,kb,mgii,redemptions_bon_savings_bonds,redemptions_sukuk_government_housing_sukuk,less_government_holdings,net_funds_raised_by_the_public_sector
2018-08-01,Monthly,,3085.09424119,0.0,0.0,6078.24523831,0.0,0.0,9163.3394795,0.0,0.0,8500.0,0.0,0.0,0.0,663.3394795000004
2018-09-01,Monthly,,2943.05371337,0.0,0.0,5010.573056499999,0.0,0.0,7953.626769869999,11855.82,0.0,0.0,0.0,0.0,0.0,-3902.1932301300003
2018-10-01,Monthly,,3102.43492917,0.0,0.0,4018.128,0.0,0.0,7120.562929170001,3000.0,0.0,7500.0,0.0,0.0,0.0,-3379.4370708299994
2018-11-01,Monthly,,4498.34055008,0.0,0.0,5516.148999999999,0.0,0.0,10014.48955008,0.0,0.0,4000.0,0.0,0.0,0.0,6014.489550079999
2018-12-01,Monthly,,0.0,0.0,0.0,8345.65015296,0.0,0.0,8345.65015296,0.0,0.0,0.0,0.0,0.0,0.0,8345.65015296
2019-01-01,Annual,,58894.28821531,0.0,0.0,59708.927319990005,0.0,0.0,118603.21553530001,43412.445999999996,0.0,24000.0,0.0,1600.0,0.0,49590.7695353
2019-01-01,Monthly,,4000.02442,0.0,0.0,9068.433786829999,0.0,0.0,13068.458206829999,0.0,0.0,0.0,0.0,0.0,0.0,13068.458206829999
2019-02-01,Monthly,,4999.99,0.0,0.0,3094.13093283,0.0,0.0,8094.120932829999,0.0,0.0,0.0,0.0,500.0,0.0,7594.120932829999
2019-03-01,Monthly,,7217.535658610001,0.0,0.0,8500.05235,0.0,0.0,15717.58800861,7177.9,0.0,0.0,0.0,0.0,0.0,8539.68800861
2019-04-01,Monthly,,7267.92820075,0.0,0.0,3499.9972,0.0,0.0,10767.925400749999,0.0,0.0,10000.0,0.0,0.0,0.0,767.9254007499985
2019-05-01,Monthly,,4058.29777327,0.0,0.0,7999.7839,0.0,0.0,12058.08167327,0.0,0.0,0.0,0.0,0.0,0.0,12058.08167327
2019-06-01,Monthly,,3999.9859,0.0,0.0,4132.8910326099995,0.0,0.0,8132.876932609999,0.0,0.0,0.0,0.0,0.0,0.0,8132.876932609999
2019-07-01,Monthly,,7253.29883,0.0,0.0,3558.4209185,0.0,0.0,10811.7197485,7315.546,0.0,0.0,0.0,1100.0,0.0,2396.1737484999994
2019-08-01,Monthly,,4485.79661898,0.0,0.0,6299.53176788,0.0,0.0,10785.328386860001,0.0,0.0,6000.0,0.0,0.0,0.0,4785.328386860001
2019-09-01,Monthly,,3114.44240217,0.0,0.0,2640.2419,0.0,0.0,5754.684302170001,0.0,0.0,8000.0,0.0,0.0,0.0,-2245.3156978299994
2019-10-01,Monthly,,6699.10647791,0.0,0.0,2681.37038672,0.0,0.0,9380.47686463,11800.0,0.0,0.0,0.0,0.0,0.0,-2419.52313537
2019-11-01,Monthly,,2699.8933,0.0,0.0,8234.07314462,0.0,0.0,10933.96644462,17119.0,0.0,0.0,0.0,0.0,0.0,-6185.03355538
2019-12-01,Monthly,,3097.98863362,0.0,0.0,0.0,0.0,0.0,3097.98863362,0.0,0.0,0.0,0.0,0.0,0.0,3097.98863362
2020-01-01,Annual,,76704.91688355,0.0,0.0,80600.50625663,0.0,0.0,157305.42314018,30715.195999999996,0.0,40000.0,0.0,2700.0,0.0,83890.22714018
2020-01-01,Monthly,,6656.6280651100005,0.0,0.0,3688.99941302,0.0,0.0,10345.62747813,0.0,0.0,0.0,0.0,0.0,0.0,10345.62747813
2020-02-01,Monthly,,4406.74916738,0.0,0.0,8598.71741258,0.0,0.0,13005.466579959999,0.0,0.0,0.0,0.0,0.0,0.0,13005.466579959999
2020-03-01,Monthly,,8450.10042282,0.0,0.0,9309.63396897,0.0,0.0,17759.73439179,11000.0,0.0,0.0,0.0,0.0,0.0,6759.73439179
2020-04-01,Monthly,,9271.14923041,0.0,0.0,5000.028200000001,0.0,0.0,14271.17743041,0.0,0.0,10500.0,0.0,0.0,0.0,3771.17743041
2020-05-01,Monthly,,4941.60808081,0.0,0.0,5422.24100492,0.0,0.0,10363.849085729998,0.0,0.0,11000.0,0.0,0.0,0.0,-636.1509142700015
2020-06-01,Monthly,,5499.900799999999,0.0,0.0,10496.511458,0.0,0.0,15996.412258,0.0,0.0,5500.0,0.0,0.0,0.0,10496.412258
2020-07-01,Monthly,,10743.78295723,0.0,0.0,5400.26684098,0.0,0.0,16144.049798209999,0.0,0.0,0.0,0.0,0.0,0.0,16144.049798209999
2020-08-01,Monthly,,5834.19715352,0.0,0.0,9886.75667022,0.0,0.0,15720.953823740001,7973.062,0.0,10000.0,0.0,2700.0,0.0,-4952.108176259999
2020-09-01,Monthly,,9167.51885928,0.0,0.0,3779.51422627,0.0,0.0,12947.03308555,0.0,0.0,0.0,0.0,0.0,0.0,12947.03308555
2020-10-01,Monthly,,5000.16455,0.0,0.0,10090.03688171,0.0,0.0,15090.20143171,11742.134,0.0,0.0,0.0,0.0,0.0,3348.06743171
2020-11-01,Monthly,,6733.11759699,0.0,0.0,4244.81424149,0.0,0.0,10977.931838479999,0.0,0.0,3000.0,0.0,0.0,0.0,7977.931838479999
2020-12-01,Monthly,,0.0,0.0,0.0,4682.98593847,0.0,0.0,4682.98593847,0.0,0.0,0.0,0.0,0.0,0.0,4682.98593847
2021-01-01,Annual,,84349.10353679002,0.0,0.0,78886.92217859002,0.0,0.0,163236.02571538003,38700.0,0.0,29000.0,0.0,6000.0,0.0,89536.02571538
2021-01-01,Monthly,,7811.24461957,0.0,0.0,4499.95997,0.0,0.0,12311.20458957,0.0,0.0,0.0,0.0,0.0,0.0,12311.20458957
2021-02-01,Monthly,,3961.4772869999997,0.0,0.0,8556.982689,0.0,0.0,12518.459976,3500.0,0.0,0.0,0.0,0.0,0.0,9018.459976
2021-03-01,Monthly,,8610.0321,0.0,0.0,8026.5095,0.0,0.0,16636.5416,0.0,0.0,9500.0,0.0,0.0,0.0,7136.5416000000005
2021-04-01,Monthly,,9481.869999999999,0.0,0.0,4361.88,0.0,0.0,13843.75,0.0,0.0,12500.0,0.0,0.0,0.0,1343.75
2021-05-01,Monthly,,4629.49,0.0,0.0,8797.16,0.0,0.0,13426.65,0.0,0.0,0.0,0.0,0.0,0.0,13426.65
2021-06-01,Monthly,,8641.62,0.0,0.0,4718.28,0.0,0.0,13359.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,13359.900000000001
2021-07-01,Monthly,,5346.916,0.0,0.0,9934.474,0.0,0.0,15281.39,13500.0,0.0,0.0,0.0,0.0,0.0,1781.3899999999994
2021-08-01,Monthly,,9123.490000000002,0.0,0.0,4905.54,0.0,0.0,14029.030000000002,0.0,0.0,7000.0,0.0,0.0,0.0,7029.0300000000025
2021-09-01,Monthly,,5328.55030195,0.0,0.0,8744.798373450001,0.0,0.0,14073.3486754,11700.0,0.0,0.0,0.0,0.0,0.0,2373.3486754000005
2021-10-01,Monthly,,9353.089096830001,0.0,0.0,8011.29845121,0.0,0.0,17364.387548040002,0.0,0.0,0.0,0.0,6000.0,0.0,11364.387548040002
2021-11-01,Monthly,,7496.24468615,0.0,0.0,4625.3527613,0.0,0.0,12121.59744745,10000.0,0.0,0.0,0.0,0.0,0.0,2121.59744745
2021-12-01,Monthly,,4565.07944529,0.0,0.0,3704.68643363,0.0,0.0,8269.76587892,0.0,0.0,0.0,0.0,0.0,0.0,8269.76587892
2022-01-01,Annual,,86827.86639116,0.0,0.0,85288.95383381,0.0,0.0,172116.82022497,29039.801,0.0,36300.0,0.0,9000.0,0.0,97777.01922497
2022-01-01,Monthly,,9661.164142,0.0,0.0,2773.64880778,0.0,0.0,12434.81294978,0.0,0.0,0.0,0.0,0.0,0.0,12434.81294978
2022-02-01,Monthly,,4842.2411027,0.0,0.0,9805.526279819998,0.0,0.0,14647.767382519998,0.0,0.0,0.0,0.0,0.0,0.0,14647.767382519998
2022-03-01,Monthly,,8902.11414578,0.0,0.0,5056.353349999999,0.0,0.0,13958.46749578,10678.801,0.0,6800.0,0.0,0.0,0.0,-3520.3335042199997
2022-04-01,Monthly,,10000.1656,0.0,0.0,9170.823558,0.0,0.0,19170.989158,0.0,0.0,11000.0,0.0,0.0,0.0,8170.989158
2022-05-01,Monthly,,4296.58129186,0.0,0.0,8096.08042045,0.0,0.0,12392.66171231,0.0,0.0,0.0,0.0,0.0,0.0,12392.66171231
2022-06-01,Monthly,,10244.705304539999,0.0,0.0,4380.53796702,0.0,0.0,14625.243271559999,0.0,0.0,0.0,0.0,0.0,0.0,14625.243271559999
2022-07-01,Monthly,,5063.830850079999,0.0,0.0,10629.55466802,0.0,0.0,15693.3855181,0.0,0.0,10000.0,0.0,9000.0,0.0,-3306.6144819
2022-08-01,Monthly,,10252.26286755,0.0,0.0,5552.05220768,0.0,0.0,15804.315075229999,8641.0,0.0,0.0,0.0,0.0,0.0,7163.315075229999
2022-09-01,Monthly,,5167.34815151,0.0,0.0,9658.37352093,0.0,0.0,14825.721672439999,9720.0,0.0,0.0,0.0,0.0,0.0,5105.721672439999
2022-10-01,Monthly,,8992.6684399,0.0,0.0,5915.52566123,0.0,0.0,14908.19410113,0.0,0.0,0.0,0.0,0.0,0.0,14908.19410113
2022-11-01,Monthly,,5011.75179479,0.0,0.0,10204.06687751,0.0,0.0,15215.8186723,0.0,0.0,8500.0,0.0,0.0,0.0,6715.8186723
2022-12-01,Monthly,,4393.03470045,0.0,0.0,4046.41051537,0.0,0.0,8439.44521582,0.0,0.0,0.0,0.0,0.0,0.0,8439.44521582
2023-01-01,Annual,,92932.7669189,0.0,0.0,98265.50045793,0.0,0.0,191198.26737683002,38320.0,0.0,39000.0,0.0,3600.0,0.0,110278.26737683
2023-01-01,Monthly,,5766.888800000001,0.0,0.0,9569.3882964,0.0,0.0,15336.277096400001,0.0,0.0,0.0,0.0,0.0,0.0,15336.277096400001
2023-02-01,Monthly,,10934.78011357,0.0,0.0,10756.1709037,0.0,0.0,21690.95101727,0.0,0.0,0.0,0.0,0.0,0.0,21690.95101727
2023-03-01,Monthly,,9353.94927222,0.0,0.0,5244.26132989,0.0,0.0,14598.210602109999,19420.0,0.0,0.0,0.0,1700.0,0.0,-6521.789397890001
2023-04-01,Monthly,,5000.06186,0.0,0.0,10091.28683433,0.0,0.0,15091.34869433,8900.0,0.0,0.0,0.0,1900.0,0.0,4291.3486943299995
2023-05-01,Monthly,,10152.74551324,0.0,0.0,5579.58144539,0.0,0.0,15732.32695863,0.0,0.0,13000.0,0.0,0.0,0.0,2732.3269586299994
2023-06-01,Monthly,,5723.77702614,0.0,0.0,10185.83198145,0.0,0.0,15909.60900759,0.0,0.0,0.0,0.0,0.0,0.0,15909.60900759
2023-07-01,Monthly,,10470.728351689999,0.0,0.0,5207.36916991,0.0,0.0,15678.097521599999,0.0,0.0,10500.0,0.0,0.0,0.0,5178.097521599999
2023-08-01,Monthly,,9341.21855416,0.0,0.0,10528.89725376,0.0,0.0,19870.11580792,10000.0,0.0,0.0,0.0,0.0,0.0,9870.11580792
2023-09-01,Monthly,,5076.59772314,0.0,0.0,9634.87469688,0.0,0.0,14711.47242002,0.0,0.0,0.0,0.0,0.0,0.0,14711.47242002
2023-10-01,Monthly,,10779.26670891,0.0,0.0,5746.88644731,0.0,0.0,16526.15315622,0.0,0.0,4000.0,0.0,0.0,0.0,12526.15315622
2023-11-01,Monthly,,0.0,0.0,0.0,15720.952098910002,0.0,0.0,15720.952098910002,0.0,0.0,11500.0,0.0,0.0,0.0,4220.952098910002
2023-12-01,Monthly,,10332.75299583,0.0,0.0,0.0,0.0,0.0,10332.75299583,0.0,0.0,0.0,0.0,0.0,0.0,10332.75299583
2024-01-01,Annual,,87854.90833402,0.0,0.0,89433.99473171,0.0,0.0,177288.90306573,43520.0,0.0,44000.0,0.0,5500.0,0.0,84268.90306573
2024-01-01,Monthly,,5145.900312,0.0,0.0,10432.019473339999,0.0,0.0,15577.919785339998,0.0,0.0,0.0,0.0,0.0,0.0,15577.919785339998
2024-02-01,Monthly,,9725.06561921,0.0,0.0,5051.480453980001,0.0,0.0,14776.54607319,0.0,0.0,0.0,0.0,5500.0,0.0,9276.54607319
2024-03-01,Monthly,,5396.78979999,0.0,0.0,10226.31706917,0.0,0.0,15623.10686916,0.0,0.0,0.0,0.0,0.0,0.0,15623.10686916
2024-04-01,Monthly,,10073.59367691,0.0,0.0,9571.60478405,0.0,0.0,19645.19846096,0.0,0.0,0.0,0.0,0.0,0.0,19645.19846096
2024-05-01,Monthly,,9650.81377804,0.0,0.0,5176.80333502,0.0,0.0,14827.61711306,0.0,0.0,12500.0,0.0,0.0,0.0,2327.6171130599996
2024-06-01,Monthly,,5000.62550421,0.0,0.0,10154.96157883,0.0,0.0,15155.58708304,21500.0,0.0,0.0,0.0,0.0,0.0,-6344.41291696
2024-07-01,Monthly,,10181.669598640001,0.0,0.0,5152.7260213,0.0,0.0,15334.395619940002,11020.0,0.0,0.0,0.0,0.0,0.0,4314.395619940002
2024-08-01,Monthly,,10753.91596407,0.0,0.0,9221.49177387,0.0,0.0,19975.40773794,0.0,0.0,12000.0,0.0,0.0,0.0,7975.4077379400005
2024-09-01,Monthly,,5228.33786888,0.0,0.0,10134.430246939999,0.0,0.0,15362.76811582,11000.0,0.0,0.0,0.0,0.0,0.0,4362.768115819999
2024-10-01,Monthly,,9636.25241394,0.0,0.0,9655.14078133,0.0,0.0,19291.39319527,0.0,0.0,19500.0,0.0,0.0,0.0,-208.60680472999957
2024-11-01,Monthly,,5020.97077207,0.0,0.0,4657.01921388,0.0,0.0,9677.98998595,0.0,0.0,0.0,0.0,0.0,0.0,9677.98998595
2024-12-01,Monthly,,2040.97302606,0.0,0.0,0.0,0.0,0.0,2040.97302606,0.0,0.0,0.0,0.0,0.0,0.0,2040.97302606
2025-01-01,Annual,,83900.13456322,0.0,0.0,87504.21709185,0.0,0.0,171404.89128244,46477.2,0.0,37000.0,0.0,0.0,0.0,87927.69128244
2025-01-01,Monthly,,5015.90290672,0.0,0.0,9602.18926183,0.0,0.0,14618.09216855,0.0,0.0,0.0,0.0,0.0,0.0,14618.09216855
2025-02-01,Monthly,,9215.81193115,0.0,0.0,10572.03661627,0.0,0.0,19787.84854742,0.0,0.0,0.0,0.0,0.0,0.0,19787.84854742
2025-03-01,Monthly,,9147.26278677,0.0,0.0,5116.7368349,0.0,0.0,14263.999621669998,16720.0,0.0,0.0,0.0,0.0,0.0,-2456.0003783300017
2025-04-01,Monthly,,5092.90105441,0.0,0.0,9105.34545282,0.0,0.0,14198.24650723,0.0,0.0,0.0,0.0,0.0,0.0,14198.24650723
2025-05-01,Monthly,,5000.10959,0.0,0.0,5000.06314,0.0,0.0,10000.17273,0.0,0.0,0.0,0.0,0.0,0.0,10000.17273
2025-06-01,Monthly,,9127.74503927,0.0,0.0,5167.28825879,0.0,0.0,14295.03329806,0.0,0.0,0.0,0.0,0.0,0.0,14295.03329806
2025-07-01,Monthly,,4999.9092,0.0,0.0,10267.0,0.0,0.0,15267.44882737,3000.0,0.0,0.0,0.0,0.0,0.0,12267.44882737
2025-08-01,Monthly,,9767.14406689,0.0,0.0,9182.88705888,0.0,0.0,18950.03112577,0.0,0.0,12500.0,0.0,0.0,0.0,6450.031125770001
2025-09-01,Monthly,,9844.58541413,0.0,0.0,10331.58979024,0.0,0.0,20176.17520437,26757.2,0.0,0.0,0.0,0.0,0.0,-6581.024795630001
2025-10-01,Monthly,,9584.84493988,0.0,0.0,5116.4064567,0.0,0.0,14701.251396579999,0.0,0.0,24500.0,0.0,0.0,0.0,-9798.748603420001
2025-11-01,Monthly,,4079.40147353,0.0,0.0,8042.67422142,0.0,0.0,12122.075694950001,0.0,0.0,0.0,0.0,0.0,0.0,12122.075694950001
2025-12-01,Monthly,,3024.51616047,0.0,0.0,0.0,0.0,0.0,3024.51616047,0.0,0.0,0.0,0.0,0.0,0.0,3024.51616047
2026-01-01,Monthly,,5000.14315,0.0,0.0,10143.771627310001,0.0,0.0,15143.914777310001,0.0,0.0,0.0,0.0,0.0,0.0,15143.914777310001
2026-02-01,Monthly,,10224.31372935,0.0,0.0,4938.05855715,0.0,0.0,15162.3722865,0.0,0.0,0.0,0.0,0.0,0.0,15162.3722865
2026-03-01,Monthly,,5000.0583,0.0,0.0,10050.30816554,0.0,0.0,15050.366465539999,0.0,0.0,25500.0,0.0,0.0,0.0,-10449.633534460001
2026-04-01,Monthly,,9886.120210789999,0.0,0.0,5000.0467,0.0,0.0,14886.166910789998,8434.33,0.0,0.0,0.0,0.0,0.0,6451.836910789998
