date,frequency,funds_raised_in_the_capital_market_by_public_sector,malaysian_government_securities,mgs_advanced_subscriptions,bonds,malaysian_government_investment_issues,bon_savings_bonds,sukuk_government_housing_sukuk,new_issues_of_debt_securities,mgs,kb,mgii,redemptions_bon_savings_bonds,redemptions_sukuk_government_housing_sukuk,less_government_holdings,net_funds_raised_by_the_public_sector
2009-01-01,Annual,,61294.40874525,0.0,0.0,28500.020579999997,7000.0,,96794.42932524998,31530.928,2350.0,5000.0,147.1635,0.0,0.0,57766.33782525
2009-01-01,Monthly,,5657.97964824,0.0,0.0,0.0,0.0,,5657.97964824,0.0,0.0,0.0,2.38,0.0,0.0,5655.59964824
2009-02-01,Monthly,,4499.96565,0.0,0.0,6000.0003,0.0,,10499.96595,11966.738,0.0,0.0,1.1436,0.0,0.0,-1467.915649999999
2009-03-01,Monthly,,10319.2202314,0.0,0.0,0.0,2000.0,,12319.2202314,5699.48,0.0,0.0,1.1482,0.0,0.0,6618.592031400001
2009-04-01,Monthly,,0.0,0.0,0.0,5000.05365,0.0,,5000.05365,0.0,0.0,3500.0,8.113,0.0,0.0,1491.94065
2009-05-01,Monthly,,8753.632252129999,0.0,0.0,0.0,5000.0,,13753.632252129999,0.0,0.0,0.0,4.959599999999999,0.0,0.0,13748.672652129999
2009-06-01,Monthly,,3976.82695739,0.0,0.0,5500.10369,0.0,,9476.93064739,0.0,0.0,0.0,4.343100000000001,0.0,0.0,9472.58754739
2009-07-01,Monthly,,5050.24495949,0.0,0.0,4499.91405,0.0,,9550.15900949,0.0,0.0,0.0,25.607400000000002,0.0,0.0,9524.55160949
2009-08-01,Monthly,,9499.953880000001,0.0,0.0,0.0,0.0,,9499.953880000001,0.0,0.0,0.0,23.252699999999997,0.0,0.0,9476.701180000002
2009-09-01,Monthly,,0.0,0.0,0.0,4000.04775,0.0,,4000.04775,4000.0,2350.0,0.0,15.6824,0.0,0.0,-2365.6346499999995
2009-10-01,Monthly,,4514.77852257,0.0,0.0,3499.90114,0.0,,8014.67966257,9364.71,0.0,1500.0,29.1885,0.0,0.0,-2879.2188374299994
2009-11-01,Monthly,,6507.8036669699995,0.0,0.0,0.0,0.0,,6507.8036669699995,0.0,0.0,0.0,19.3236,0.0,0.0,6488.48006697
2009-12-01,Monthly,,2514.00297706,0.0,0.0,0.0,0.0,,2514.00297706,500.0,0.0,0.0,12.0214,0.0,0.0,2001.9815770599998
2010-01-01,Annual,,37734.07906711,0.0,0.0,20999.85349,2398.8015,,61132.73405711,18377.71,0.0,5500.0,240.74409999999773,0.0,0.0,37014.279957110004
2010-01-01,Monthly,,5565.00461044,0.0,0.0,2999.9547,0.0,,8564.95931044,0.0,0.0,0.0,24.8781,0.0,0.0,8540.08121044
2010-02-01,Monthly,,3499.99102,0.0,0.0,0.0,0.0,,3499.99102,0.0,0.0,0.0,12.5882,0.0,0.0,3487.40282
2010-03-01,Monthly,,3499.9591,0.0,0.0,3499.97128,0.0,,6999.93038,0.0,0.0,3500.0,14.152800000000001,0.0,0.0,3485.77758
2010-04-01,Monthly,,5566.67111131,0.0,0.0,0.0,0.0,,5566.67111131,10886.51,0.0,0.0,22.893499999998312,0.0,0.0,-5342.7323886899985
2010-05-01,Monthly,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,20.456899999999223,0.0,0.0,-20.456899999999223
2010-06-01,Monthly,,3007.439,0.0,0.0,5499.9734100000005,2398.8015,,10906.21391,0.0,0.0,0.0,15.434300000000576,0.0,0.0,10890.77961
2010-07-01,Monthly,,3612.942923,0.0,0.0,3000.014,0.0,,6612.956923,0.0,0.0,0.0,30.125299999999697,0.0,0.0,6582.831623
2010-08-01,Monthly,,6336.35768536,0.0,0.0,0.0,0.0,,6336.35768536,6991.2,0.0,0.0,18.80470000000014,0.0,0.0,-673.6470146399997
2010-09-01,Monthly,,0.0,0.0,0.0,3000.0329,0.0,,3000.0329,0.0,0.0,0.0,13.72279999999978,0.0,0.0,2986.3101000000006
2010-10-01,Monthly,,6645.713616999999,0.0,0.0,0.0,0.0,,6645.713616999999,0.0,0.0,0.0,29.97550000000001,0.0,0.0,6615.738116999999
2010-11-01,Monthly,,0.0,0.0,0.0,2999.9072,0.0,,2999.9072,500.0,0.0,0.0,23.575000000000045,0.0,0.0,2476.3322
2010-12-01,Monthly,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2000.0,14.136999999999944,0.0,0.0,-2014.137
2011-01-01,Annual,,55398.97458400001,0.0,0.0,36418.55917084,0.0,,91817.53375484001,37479.465,0.0,7500.0,1595.3528000000003,0.0,0.0,45242.715954840016
2011-01-01,Monthly,,6499.9383,0.0,0.0,0.0,0.0,,6499.9383,0.0,0.0,0.0,28.49129999999991,0.0,0.0,6471.447
2011-02-01,Monthly,,4499.95075,0.0,0.0,5499.98373,0.0,,9999.93448,0.0,0.0,0.0,10.03370000000018,0.0,0.0,9989.90078
2011-03-01,Monthly,,4137.75705,0.0,0.0,3999.9369,0.0,,8137.693950000001,0.0,0.0,0.0,18.10279999999989,0.0,0.0,8119.591150000001
